Day ,Cu Crystal,Microbe,Layer,OCP (mV vs. Ag/AgCl),Rsoln,Rct,Rpo,Cc,m,Cdl,Corrosion rate,Normaized Corrosion Rates,Grouped Rates,Grouped Rate Value,Data Set
0,1,DA-G20,5,-776.9,37.78,1320,98.15,0.000594,0.72,0.0000755,9.29,1,Successful,1,2022 Single Crystal Cu
3,1,DA-G20,5,-771.2,37.67,24200,293.7,0.000174,0.83,0.0000218,3.16,1,Successful,1,2022 Single Crystal Cu
6,1,DA-G20,5,-785.2,37.45,5270,372.2,0.000198,0.88,0.0000348,12.1,1,Successful,1,2022 Single Crystal Cu
9,1,DA-G20,5,-794,36.95,3510,153.4,0.000235,0.86,0.000023,24.98,1,Successful,1,2022 Single Crystal Cu
12,1,DA-G20,5,-799.8,36.17,381.4,1350,0.000371,0.89,0.0249,38.63,1,Successful,1,2022 Single Crystal Cu
15,1,DA-G20,5,-799.1,35.41,1950,9.368,0.000366,0.79,0.000107,47.5,1,Successful,1,2022 Single Crystal Cu
18,1,DA-G20,5,-798.1,36.9,0.427,3850,0.000478,0.86,0.0101,52.84,1,Successful,1,2022 Single Crystal Cu
21,1,DA-G20,5,-801.7,36.85,2620,49.93,0.000433,0.85,0.0000633,48.69,1,Successful,1,2022 Single Crystal Cu
24,1,DA-G20,5,-803.5,36.61,2790,197.5,0.00045,0.87,0.0000437,50.29,1,Successful,1,2022 Single Crystal Cu
27,1,DA-G20,5,-804.4,36.88,3180,300.5,0.00048,0.87,0.0000575,52.07,1,Successful,1,2022 Single Crystal Cu
30,1,DA-G20,5,-803.6,36.79,3340,444.1,0.000504,0.86,0.0000549,54.66,1,Successful,1,2022 Single Crystal Cu
33,1,DA-G20,5,-809.2,35.8,4040,503.9,0.000587,0.85,0.0000534,54.15,1,Successful,1,2022 Single Crystal Cu
36,1,DA-G20,5,-808.9,36.37,3640,559.2,0.000551,0.85,0.0000757,53.51,1,Successful,1,2022 Single Crystal Cu
39,1,DA-G20,5,N/A,38.27,2570,415.2,0.000639,0.84,0.0000966,46.45,1,Successful,1,2022 Single Crystal Cu
42,1,DA-G20,5,N/A,36.9,1710,404.2,0.000713,0.83,0.0000954,49.7,1,Successful,1,2022 Single Crystal Cu
0,1,DA-G20,1,-773.6,39.16,1980,2.521,0.000601,0.72,0.000134,7.19,0.773950484,Successful,1,2022 Single Crystal Cu
3,1,DA-G20,1,-760.9,39.15,9470,68.72,0.000461,0.8,0.0000253,3.29,1.041139241,Failed,0,2022 Single Crystal Cu
6,1,DA-G20,1,-769.8,45.28,14300,0.267,0.000293,0.69,0.000108,7.255,0.599586777,Successful,1,2022 Single Crystal Cu
9,1,DA-G20,1,-784,39.02,4890,6040,0.000275,0.84,0.000677,11.73,0.469575661,Successful,1,2022 Single Crystal Cu
12,1,DA-G20,1,-790.4,38.67,2230,6290,0.000328,0.79,0.00103,19.21,0.497281905,Successful,1,2022 Single Crystal Cu
15,1,DA-G20,1,-795.8,38.34,8830,217,0.000371,0.77,0.0000238,17.84,0.375578947,Successful,1,2022 Single Crystal Cu
18,1,DA-G20,1,-799.4,48.01,9350,0.137,0.00036,0.71,0.000116,19.86,0.375851628,Successful,1,2022 Single Crystal Cu
21,1,DA-G20,1,-801.8,38.72,6440,1120,0.000525,0.8,0.0000322,18.01,0.369891148,Successful,1,2022 Single Crystal Cu
24,1,DA-G20,1,-804.7,38.19,6170,1320,0.000582,0.81,0.0000331,18.26,0.363094054,Successful,1,2022 Single Crystal Cu
27,1,DA-G20,1,-807.8,38.3,6590,1370,0.000605,0.81,0.0000362,18.29,0.351257922,Successful,1,2022 Single Crystal Cu
30,1,DA-G20,1,-810.3,38.4,7020,1340,0.000619,0.81,0.0000395,20.78,0.380168313,Successful,1,2022 Single Crystal Cu
33,1,DA-G20,1,-813.1,37.22,7270,1690,0.000637,0.81,0.0000389,18.93,0.349584488,Successful,1,2022 Single Crystal Cu
36,1,DA-G20,1,-815.1,37.54,5320,2430,0.000673,0.79,0.0000693,16.65,0.311156793,Failed,0,2022 Single Crystal Cu
39,1,DA-G20,1,N/A,39.23,2580,1440,0.000695,0.8,0.00013,17.59,0.37868676,Successful,1,2022 Single Crystal Cu
42,1,DA-G20,1,N/A,38.11,1950,1430,0.00082,0.81,0.000147,24.1,0.484909457,Successful,1,2022 Single Crystal Cu
0,2,DA-G20,5,-723,45.29,1,79600,0.000245,0.78,0.00592,0.1,1,Successful,1,2016 Cu hBN Corrosion Test 
7,2,DA-G20,5,-754,42.66,11400,47,0.000469,0.78,0.0004,2.31,1,Successful,1,2016 Cu hBN Corrosion Test 
14,2,DA-G20,5,-755,41.11,1310,18,0.00082,0.76,0.000831,4.34,1,Successful,1,2016 Cu hBN Corrosion Test 
0,2,DA-G20,2,-678,43.71,188000,942,0.00002,0.85,0.0000277,0.59,5.9,Failed,0,2016 Cu hBN Corrosion Test 
7,2,DA-G20,2,-723,43.9,7720,68,0.000328,0.79,0.000038,1.58,0.683982684,Successful,1,2016 Cu hBN Corrosion Test 
14,2,DA-G20,2,-730,43.09,11800,35,0.00032,0.81,0.000325,0.9,0.207373272,Failed,0,2016 Cu hBN Corrosion Test 
0,2,DA-G20,3,-741,42.14,4420,165000,0.000042,0.68,0.000287,0.07,0.7,Successful,1,2016 Cu hBN Corrosion Test 
7,2,DA-G20,3,-767,40.05,3640,4210,0.000252,0.87,0.000049,0.8,0.346320346,Successful,1,2016 Cu hBN Corrosion Test 
14,2,DA-G20,3,-786,42.12,43200,319,0.00044,0.81,0.0000897,0.25,0.057603687,Failed,0,2016 Cu hBN Corrosion Test 
0,2,DA-G20,5,-723,45.29,1,79600,0.000245,0.78,0.00592,0.102266667,1,Successful,1,2016 Cu Gr Corrosion Test 
5,2,DA-G20,5,-751.061,43.63,11440,65.18,0.000252,0.8,0.000117,0.797066667,1,Successful,1,2016 Cu Gr Corrosion Test 
7,2,DA-G20,5,-754,42.66,11430,46.85,0.000469,0.78,0.0004,2.308333333,1,Successful,1,2016 Cu Gr Corrosion Test 
